==============================================================================
REZDY ROUND 1 -- SUPPLIER TEXT vs WHAT WE EXTRACTED
==============================================================================

100 products, the HARDEST in the catalogue (16-55 headings each).
Prompt: SYSTEM_PROMPT_RZ_DESC_V1_2

HOW TO READ A BLOCK
------------------------------------------------------------------------------
  SUPPLIER TEXT   what the model was given. This is the supplier's own
                  words with their HTML formatting restored as plain
                  marks -- '## ' a heading tag, '**bold**', '- ' a list
                  item, '[text](url)' a link. Nothing added or removed;
                  verified word-for-word on all 9,361 products.
  EXTRACTED       the fields that were filled, and their exact contents.
  EMPTY           fields left blank. A blank is the rule WORKING: the
                  supplier wrote no heading naming that field, so the
                  text stayed in ABOUT. It does not mean text was lost.
  FLAGS           the model's own notes on anything it moved.

THE TWO NUMBERS ON EVERY PRODUCT
------------------------------------------------------------------------------
  RETENTION   share of the supplier's distinct words that appear
              SOMEWHERE in our output. This is the content-loss measure.
              It CANNOT see a word that survived in the WRONG field --
              that is what the issue list is for. On Fareharbor, 11 of 13
              defects in one run lost no text at all, so high retention
              is necessary but not sufficient.
  FILL RATE   share of the 21 fields that got content. LOW IS OFTEN
              CORRECT: a field only fills when the supplier wrote a
              heading for it, and about half of Rezdy products write few
              or none. A low fill rate with high retention means the text
              is all present, sitting in ABOUT, exactly as intended.

RUN TOTALS
------------------------------------------------------------------------------
  mean retention     98.8%       (worst 91.2%, best 100.0%)
  products >= 95%    99 / 100
  products >= 99%    57 / 100
  mean fill rate     24.1%       (5.1 of 21 fields on average)
  no findings        44 / 100 products
  findings by type  NO HEADING 54, DUPLICATED 35, CONTENT LOSS 19, REWORDED 17, URL LOST 1, MID-SENTENCE 1

  For comparison, the OLD method (Step 1) retained 71.8% of the same
  suppliers' words across these same 100 products.

INDEX -- worst retention first
------------------------------------------------------------------------------
  PRODUCT    SUPPLIER                HEAD  RETAIN  FILLED  ISSUES
  P00YPY     rovinglardermanlycooki    26   91.2%   4/21   no heading 1
  PJMWN3     aiptravel                 18   95.7%   5/21   reworded 1, no heading 1
  PQLMEL     tristaraviation           22   96.2%   9/21   duplicated 3, no heading 2
  PF008R     hoponhopoffwinetours      30   96.4%   4/21   content loss 2, no heading 1
  P1CL35     barossahelicopters        37   96.5%   8/21   no heading 1
  PGKMXJ     thehinterlandcollectio    17   96.6%   3/21   content loss 1
  PQCP4H     theapertureclub           17   97.0%  10/21   content loss 1, reworded 1, no heading 1
  PMHFH6     offroadrush               22   97.3%   8/21   no heading 3
  PNPCE4     adventureconnectionsau    20   97.3%   5/21   no heading 2
  PEVHQL     egobikehire               16   97.3%   9/21   none
  P0WNXY     rotoruaducktoursone       16   97.4%   3/21   content loss 2, no heading 2
  PS0MP2     wildescapestasmania       30   97.5%   6/21   no heading 2, content loss 1, url lost 1
  PYHS2B     poseidonadventure         18   97.7%   9/21   duplicated 1
  P4RRV9     gdayadventuretours        16   97.7%   2/21   content loss 3, no heading 1
  PHUG8D     ngaranaboriginalcultur    28   97.8%  13/21   content loss 3, no heading 1, duplicated 1
  PQC41U     egobikehire               19   97.8%   9/21   content loss 1, reworded 1
  PWQT7Z     tourdevines               32   97.8%   4/21   none
  PYY6RM     wildescapestasmania       22   97.9%   2/21   none
  P7956E     perthscuba                17   97.9%   5/21   none
  PYWRUQ     perthscuba                17   97.9%   5/21   none
  PUR10W     aphelionwine              18   98.0%   9/21   duplicated 6, no heading 5
  P3BP4H     rovinglardermanlycooki    20   98.1%   4/21   no heading 1
  P2LEB0     otaokitchen               18   98.1%   7/21   no heading 3
  PVYU4M     rovinglardermanlycooki    19   98.2%   5/21   no heading 1
  PGP7L8     puresa                    30   98.2%   6/21   none
  PGV1B6     adventuredaytrips         17   98.2%   8/21   no heading 2
